key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	associatedSequences	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetID	datasetName	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	eventID	identifier	scientificNameID	institutionID	locality	eventRemarks	collectionCode	gbifID	occurrenceID	taxonID	parentNameUsageID	catalogNumber	locationRemarks	organismID	institutionCode	locationID	collectionID
2382899480	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.318+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117925	1	54	354	9477065	6314	2117918	2117925	2117925	Austrodecus kelpi Pushkin, 1977	Austrodecus kelpi Pushkin, 1977	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus kelpi	Austrodecus	kelpi	SPECIES	ACCEPTED	NE	-53.627998	-40.907001	206.0	{}	Scotia Sea, Shag Rocks	2006.0	4.0	11.0	2006-04-11	101.0	101.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.318+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: P-SR-EBS-4S-1	[{'identifier': 'OGL_MSC_NortheasternUniversity_S10455'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	Tomas Munilla	ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	P-SR-EBS-4S-1	CE01984	OGL_MSC_NortheasternUniversity_S10455	urn:lsid:marinespecies.org:taxname:173020	8c116cac-9394-4c4e-be14-06184bdc62bd	SR-EBS-4	Contact Person: Linse, Katrin	OGL	2382899480	OGL_MSC_NortheasternUniversity_S10455	T02171	134579	S10455	E off Shag Rocks	S10455	OGL	CL01580	0f00dede-1a1f-49e5-ae69-2bc40db635c5
2382899968	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.423+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117925	1	54	354	9477065	6314	2117918	2117925	2117925	Austrodecus kelpi Pushkin, 1977	Austrodecus kelpi Pushkin, 1977	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus kelpi	Austrodecus	kelpi	SPECIES	ACCEPTED	NE	-53.627998	-40.907001	206.0	{}	Scotia Sea, Shag Rocks	2006.0	4.0	11.0	2006-04-11	101.0	101.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.423+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: P-SR-EBS-4S-2	[{'identifier': 'OGL_MSC_NortheasternUniversity_S10456'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	Tomas Munilla	ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	P-SR-EBS-4S-2	CE01984	OGL_MSC_NortheasternUniversity_S10456	urn:lsid:marinespecies.org:taxname:173020	8c116cac-9394-4c4e-be14-06184bdc62bd	SR-EBS-4	Contact Person: Linse, Katrin	OGL	2382899968	OGL_MSC_NortheasternUniversity_S10456	T02171	134579	S10456	E off Shag Rocks	S10456	OGL	CL01580	0f00dede-1a1f-49e5-ae69-2bc40db635c5
2382899745	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:49.318+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117925	1	54	354	9477065	6314	2117918	2117925	2117925	Austrodecus kelpi Pushkin, 1977	Austrodecus kelpi Pushkin, 1977	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus kelpi	Austrodecus	kelpi	SPECIES	ACCEPTED	NE	-53.627998	-40.907001	206.0	{}	Scotia Sea, Shag Rocks	2006.0	4.0	11.0	2006-04-11	101.0	101.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:49.318+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: P-SR-EBS-4S-3	[{'identifier': 'OGL_MSC_NortheasternUniversity_S10457'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Katrin Linse	Tomas Munilla	ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	P-SR-EBS-4S-3	CE01984	OGL_MSC_NortheasternUniversity_S10457	urn:lsid:marinespecies.org:taxname:173020	8c116cac-9394-4c4e-be14-06184bdc62bd	SR-EBS-4	Contact Person: Linse, Katrin	OGL	2382899745	OGL_MSC_NortheasternUniversity_S10457	T02171	134579	S10457	E off Shag Rocks	S10457	OGL	CL01580	0f00dede-1a1f-49e5-ae69-2bc40db635c5
318005138	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.731+00:00	124	{}	OCCURRENCE	PRESENT	2117925	1	54	354	9477065	6314	2117918	2117925	2117925	Austrodecus kelpi Pushkin, 1977	Austrodecus kelpi Pushkin, 1977	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus kelpi	Austrodecus	kelpi	SPECIES	ACCEPTED	NE	-54.2916	-35.8116		{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.731+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38121'}]	[]	[]	[]			False						WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE								SOMBASE Pycnogonids	318005138				38121			BAS		
