key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	preparations	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	locality	gbifID	collectionCode	occurrenceID	higherClassification	individualCount	decimalLatitude	decimalLongitude	continent	waterBody	higherGeography	typeStatus	collectionKey	datasetName	recordedBy	identifiedBy	geodeticDatum	countryCode	gbifRegion	country	verbatimDepth	institutionCode	locationID	collectionID
2434400704	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.613+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1099/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1099_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1099/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	MALE	2117361	1	54	354	9477065	6316	2117290	2117361	2117361	Anoplodactylus allotrius Child, 1979	Anoplodactylus allotrius Child, 1979	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus allotrius	Anoplodactylus	allotrius	SPECIES	ACCEPTED	NE	Curacao	{}	1984	5	18	1984-05-18	139	139	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:41.613+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1099@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1099_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1099/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	WholeOrganism (microscopic slide)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.P.1099@CRS	ZMA.PYC.P.1099	ICZN	Naturalis Biodiversity Center	18/V 1984	Piscadera Baai	2434400704	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1099	Animalia																			
1322611022	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:59.959+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117361	1	54	354	9477065	6316	2117290	2117361	2117361	Anoplodactylus allotrius Child, 1979	Anoplodactylus allotrius Child, 1979	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus allotrius	Anoplodactylus	allotrius	SPECIES	ACCEPTED	NE	Canal Zone	{'level0': {'gid': 'PAN', 'name': 'Panama'}, 'level1': {'gid': 'PAN.4_1', 'name': 'Colón'}, 'level2': {'gid': 'PAN.4.2_1', 'name': 'Colón'}, 'level3': {'gid': 'PAN.4.2.6_1', 'name': 'Cristóbal'}}	1972	8	16	1972-08-16	229	229	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2016-09-30T11:23:00.000+00:00	2024-07-02T12:39:59.959+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ef3da25e-f8f3-4035-84e3-86842bf1613d'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3ef3da25e-f8f3-4035-84e3-86842bf1613d	USNM 169410		urn:lsid:biocol.org:col:34871	16 AUG 1972	Galeta Island, Reef	1322611022	IZ	http://n2t.net/ark:/65665/3ef3da25e-f8f3-4035-84e3-86842bf1613d	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	1.0	9.4	-79.87	NORTH_AMERICA	North Atlantic Ocean, Caribbean Sea	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	HOLOTYPE	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	PA	LATIN_AMERICA	Panama	Intertidal	USNM	16	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6
1317791182	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:14.885+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2117361	1	54	354	9477065	6316	2117290	2117361	2117361	Anoplodactylus allotrius Child, 1979	Anoplodactylus allotrius Child, 1979	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus allotrius	Anoplodactylus	allotrius	SPECIES	ACCEPTED	NE	Canal Zone	{}	1971	4	20	1971-04-20	110	110	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2016-09-30T11:20:00.000+00:00	2024-07-02T12:37:14.885+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/31a065049-1e89-4c11-a2de-025c4c0bc3c3'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/31a065049-1e89-4c11-a2de-025c4c0bc3c3	USNM 169411		urn:lsid:biocol.org:col:34871	20 APR 1971	Limon Bay, Inside W Jetty,Near Toro Point	1317791182	IZ	http://n2t.net/ark:/65665/31a065049-1e89-4c11-a2de-025c4c0bc3c3	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	2.0	9.37	-79.95	NORTH_AMERICA	North Atlantic Ocean, Caribbean Sea	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	PARATYPE	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	PA	LATIN_AMERICA	Panama	Intertidal	USNM	10-5	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6
