key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locationID	footprintWKT	fieldNumber	gbifID	language	collectionCode	occurrenceID	continent	typeStatus	modified	references	datasetID	locality	bibliographicCitation	dateIdentified	identifiedBy	dynamicProperties	individualCount	waterBody	eventID	occurrenceRemarks
4081086445	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.952+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-35.98333	174.605	500.0	37.0	0.0	{}	1997.0	2.0	24.0	1997-02-24	55.0	55.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.952+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '603e7252-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NIWA	Specimen(s), None = 1	Dredge, rock	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	603e7252-fa36-11e2-96b3-aa6f927c92a3	8083	urn:lsid:marinespecies.org:taxname:239679	NIWA Invertebrate Collection	Z8823	POINT (174.605 -35.98333)	BG9701/09	4081086445	en	NIWA	603e7252-fa36-11e2-96b3-aa6f927c92a3														
4055757372	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:10:18.295+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-43.62	172.73				{}	1957.0	10.0	26.0	1957-10-26	299.0	299.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:10:18.295+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_2265'}]	[]	[]	[]	True					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_2265	sm_id_2265	urn:lsid:marinespecies.org:taxname:239679	WoRMS Editorial Board				4055757372		WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_2265	OCEANIA	HOLOTYPE	2007-06-20T15:52:33.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=2265	https://marineinfo.org/id/dataset/5184	Pacific Ocean	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Rhynchothorax percivali</i> Clark, 1976. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239679							
4081179696	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.397+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-43.6217	172.7533	500.0	0.0	0.0	{}							['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.397+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5cecbac8-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True	NIWA Invertebrate Collection		Specimen(s), Unknown = 1	Shore collection	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5cecbac8-fa36-11e2-96b3-aa6f927c92a3	4174	urn:lsid:marinespecies.org:taxname:239679	NIWA Invertebrate Collection	Z2687	POINT (172.7533 -43.6217)		4081179696	en	NIWA	5cecbac8-fa36-11e2-96b3-aa6f927c92a3	OCEANIA	PARATYPE						1976-01-01T00:00:00	Clark, W.C.	0				
4081128548	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.929+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-43.6217	172.7533	500.0	0.0	0.0	{}							['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.929+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5e513a9c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True	NIWA Invertebrate Collection		Specimen(s), None = 2	Shore collection	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5e513a9c-fa36-11e2-96b3-aa6f927c92a3	104	urn:lsid:marinespecies.org:taxname:239679	NIWA Invertebrate Collection	Z2687	POINT (172.7533 -43.6217)		4081128548	en	NIWA	5e513a9c-fa36-11e2-96b3-aa6f927c92a3	OCEANIA	PARATYPE						1976-01-01T00:00:00	Clark, W.C.					
318009756	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.411+00:00	124	{}	OCCURRENCE	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-45.6166	170.9666		51.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.411+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23970'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		23970		BAS				318009756		SOMBASE Pycnogonids															
318009758	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.411+00:00	124	{}	OCCURRENCE	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-37.5333	178.7		101.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.411+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23971'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		23971		BAS				318009758		SOMBASE Pycnogonids															
318009759	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.411+00:00	124	{}	OCCURRENCE	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-43.3666	175.3333		95.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.411+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23972'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		23972		BAS				318009759		SOMBASE Pycnogonids															
318009815	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.440+00:00	124	{}	OCCURRENCE	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-35.9833	174.605		37.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.440+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34184'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34184		BAS				318009815		SOMBASE Pycnogonids															
1426882956	5e2c9b3a-9d7c-4871-af8c-144e4f40e9d2	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:02:38.476+00:00	2024-01-29T08:15:30.601+00:00	299	{}	HUMAN_OBSERVATION	PRESENT	FEMALE	2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-45.8233	170.8833	100.0	75.0	0.0	{}							[]	2024-01-29T08:15:30.601+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:SWPRON:MBIS:6612'}]	[]	[]	[]	False	MBIS Marine Fauna and Flora observations around New Zealand				WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	urn:catalog:SWPRON:MBIS:6612	MBIS-urn:catalog:SWPRON:MBIS:6612 Munida Station 75/74 Rhynchothorax percivali	urn:lsid:marinespecies.org:taxname:239679	USNM		POINT (170.8833 -45.8233)	Munida Station 75/74	1426882956	en		urn:catalog:SWPRON:MBIS:6612			2015-10-15T00:00:00.000+00:00				W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476				1.0	Pacific Ocean	1939	
1426882953	5e2c9b3a-9d7c-4871-af8c-144e4f40e9d2	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:02:38.476+00:00	2024-01-29T08:15:30.598+00:00	299	{}	HUMAN_OBSERVATION	PRESENT		2117964	1	54	354	9477065	2015	2117960	2117964	2117964	Rhynchothorax percivali Clark, 1976	Rhynchothorax percivali Clark, 1976	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax percivali	Rhynchothorax	percivali	SPECIES	ACCEPTED	NE	-43.62017	172.75752	100.0	0.0	0.0	{}				1957-10-26/1975-05-11	299.0	131.0	['CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-29T08:15:30.598+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:SWPRON:MBIS:6613'}]	[]	[]	[]	False	MBIS Marine Fauna and Flora observations around New Zealand				WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	urn:catalog:SWPRON:MBIS:6613	MBIS-urn:catalog:SWPRON:MBIS:6613  Rhynchothorax percivali	urn:lsid:marinespecies.org:taxname:239679	USNM		POINT (172.75752 -43.62017)		1426882953	en		urn:catalog:SWPRON:MBIS:6613	OCEANIA		2015-10-15T00:00:00.000+00:00			the Brachiopod Pool, Lyttelton Harbour near Ripapa Island	W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476				13.0	Pacific Ocean	1940	from the undersides of volcanic boulders in a rock pool about mid-tide level
