key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	scientificNameID	footprintWKT	locality	fieldNumber	collectionCode	gbifID	language	occurrenceID	taxonRemarks	catalogNumber	institutionCode	occurrenceRemarks	bibliographicCitation	institutionKey	collectionKey	recordedBy	preparations	eventID	institutionID	verbatimDepth	ownerInstitutionCode	parentEventID	collectionID	datasetID	continent	recordNumber	datasetName	locationID	sex	otherCatalogNumbers	dynamicProperties	higherClassification	lifeStage	higherGeography	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	typeStatus	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders
1426808255	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.391+00:00	259	{}	HUMAN_OBSERVATION	2.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.315333	170.361	30.0	130.0	0.0	{}	Southern Ocean	2004.0	2.0	10.0	2004-02-10T22:02	41.0	41.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.391+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1906'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1906	urn:lsid:marinespecies.org:taxname:173268	POINT (170.361 -72.315333)	Ross 5	TAN0402/47	MBIS BioRoss	1426808255	en	1906	Rhynchothorax australis	TAN0402/47 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 1906)																																	
1426808291	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.397+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.336833	170.394167	30.0	153.0	1.0	{}	Southern Ocean	2004.0	2.0		2004-02-12T23:54/2004-02-13T00:09	43.0	44.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.397+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1916'}]	[]	[]	[]	False	Johanna Nielsen	Epibenthic sled	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1916	urn:lsid:marinespecies.org:taxname:173268	LINESTRING (170.394167 -72.336833, 170.390167 -72.331833)	Ross 5	TAN0402/52	MBIS BioRoss	1426808291	en	1916	Rhynchothorax australis	TAN0402/52 Rhynchothorax australis	NIWA	GearType= Epibenthic sled	Rhynchothorax australis  (MBIS BioRoss 1916)																																	
1426808225	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.408+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.331	170.389	30.0	152.0	0.0	{}	Southern Ocean	2004.0	2.0	13.0	2004-02-13T00:41	44.0	44.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.408+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1922'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1922	urn:lsid:marinespecies.org:taxname:173268	POINT (170.389 -72.331)	Ross 5	TAN0402/53	MBIS BioRoss	1426808225	en	1922	Rhynchothorax australis	TAN0402/53 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 1922)																																	
1426808337	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.469+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.277167	170.602167	30.0	400.0	0.0	{}	Southern Ocean	2004.0	2.0	18.0	2004-02-18T09:40	49.0	49.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.469+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1981'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1981	urn:lsid:marinespecies.org:taxname:173268	POINT (170.602167 -71.277167)	Ross 1	TAN0402/107	MBIS BioRoss	1426808337	en	1981	Rhynchothorax australis	TAN0402/107 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 1981)																																	
1426808450	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.466+00:00	259	{}	HUMAN_OBSERVATION	2.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.3045	170.618	30.0	357.0	0.0	{}	Southern Ocean	2004.0	2.0	18.0	2004-02-18T12:03	49.0	49.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.466+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1984'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1984	urn:lsid:marinespecies.org:taxname:173268	POINT (170.618 -71.3045)	Ross 1	TAN0402/111	MBIS BioRoss	1426808450	en	1984	Rhynchothorax australis	TAN0402/111 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 1984)																																	
1426808392	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:29.477+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-71.313167	170.501	30.0	243.0	0.0	{}	Southern Ocean	2004.0	2.0	19.0	2004-02-19T00:24	50.0	50.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:29.477+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1993'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1993	urn:lsid:marinespecies.org:taxname:173268	POINT (170.501 -71.313167)	Ross 1	TAN0402/123	MBIS BioRoss	1426808392	en	1993	Rhynchothorax australis	TAN0402/123 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 1993)																																	
1426808418	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.324+00:00	259	{}	HUMAN_OBSERVATION	2.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.014	170.775833	30.0	236.0	0.0	{}	Southern Ocean	2004.0	2.0	26.0	2004-02-26T01:17	57.0	57.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.324+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2033'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	2033	urn:lsid:marinespecies.org:taxname:173268	POINT (170.775833 -72.014)	Ross 4	TAN0402/139	MBIS BioRoss	1426808418	en	2033	Rhynchothorax australis	TAN0402/139 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 2033)																																	
1426808435	03e5566b-7802-45cc-a1be-bac840e2a133	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:08:32.177+00:00	2024-01-29T08:17:30.352+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE	2005-06-20T00:00:00	-72.018333	170.808167	30.0	302.0	0.0	{}	Southern Ocean	2004.0	2.0	26.0	2004-02-26T03:16	57.0	57.0	['COUNTRY_DERIVED_FROM_COORDINATES']	2013-11-03T00:00:00.000+00:00	2024-01-29T08:17:30.352+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2038'}]	[]	[]	[]	False	Johanna Nielsen	Van Veen grab	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	2038	urn:lsid:marinespecies.org:taxname:173268	POINT (170.808167 -72.018333)	Ross 4	TAN0402/142	MBIS BioRoss	1426808435	en	2038	Rhynchothorax australis	TAN0402/142 Rhynchothorax australis	NIWA	GearType= Van Veen Grab	Rhynchothorax australis  (MBIS BioRoss 2038)																																	
4399690726	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.108+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE		-71.188333	-12.256667				{}	Weddell Sea	2000.0	3.0	31.0	2000-03-31	91.0	91.0	['COORDINATE_ROUNDED']		2024-06-18T12:44:59.108+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '79c74760-3720-4e85-9f02-cd83165ed2a7'}]	[]	[]	[]	False	Turpaeva, Elena	Bottom Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	79c74760-3720-4e85-9f02-cd83165ed2a7			Weddell Sea	85-1	OBFc	4399690726		79c74760-3720-4e85-9f02-cd83165ed2a7		INV0001904	IORAS			51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	RV Polarstern	EtOH 75%	RV Polarstern_cruise ANTXVII/3_st.85-1	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	309.0 - 318.0 m	IORAS	cruise ANTXVII/3	fd699988-ab5d-4737-9443-9085cea191d2																							
4399691266	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.937+00:00	69	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117969	1	54	354	9477065	2015	2117960	2117969	2117969	Rhynchothorax australis Hodgson, 1907	Rhynchothorax australis Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	Rhynchothorax	australis	SPECIES	ACCEPTED	NE		-63.078333	-57.526667				{}	Fleet Sea	2000.0	4.0	26.0	2000-04-26	117.0	117.0	['COORDINATE_ROUNDED']		2024-06-18T12:44:58.937+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '0949b92d-4f05-482e-802c-60a796fecf47'}]	[]	[]	[]	False	Turpaeva, Elena	Agassiz Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	0949b92d-4f05-482e-802c-60a796fecf47			Bransfield Strait	158-1	OBFc	4399691266		0949b92d-4f05-482e-802c-60a796fecf47		INV0001914	IORAS			51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	RV Polarstern	EtOH 75%	RV Polarstern_cruise ANTXVII/3_st.158-1	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	94.0 - 95.0 m	IORAS	cruise ANTXVII/3	fd699988-ab5d-4737-9443-9085cea191d2																							
