key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	associatedSequences	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetID	datasetName	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	eventID	identifier	scientificNameID	institutionID	eventRemarks	collectionCode	gbifID	occurrenceID	taxonID	parentNameUsageID	catalogNumber	organismID	institutionCode	locationID	occurrenceRemarks	collectionID	coordinateUncertaintyInMeters	depthAccuracy	recordedBy	preparations	footprintWKT	locality	language	georeferenceSources	sex	continent	organismQuantity	organismQuantityType	verbatimEventDate	http://unknown.org/taxonRankID	dynamicProperties	taxonConceptID	identificationQualifier	http://unknown.org/species	individualCount	fieldNumber	verbatimDepth	ownerInstitutionCode	parentEventID	typeStatus	otherCatalogNumbers	higherClassification
2382902737	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:15.208+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-51.095501	161.977005	524.0	{}	Ross Sea	2008.0	3.0	30.0	2008-03-30	90.0	90.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-24T22:36:15.208+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	BOLD ID: 39913	[{'identifier': 'OGL_MSC_NortheasternUniversity_S12167'}]	[]	[]	[]	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	False	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Claudia Arango	ND	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	39913; 447	CE01925	OGL_MSC_NortheasternUniversity_S12167	urn:lsid:marinespecies.org:taxname:173197	8c116cac-9394-4c4e-be14-06184bdc62bd	Collection Event Notes: Collector name listed as R/VTANGAROA	OGL	2382902737	OGL_MSC_NortheasternUniversity_S12167	T02250	134586	S12167	S12167	OGL	CL01511	media-complex	0f00dede-1a1f-49e5-ae69-2bc40db635c5																										
4081101022	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.397+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-51.0955	161.9765	493.0	{}		2008.0	4.0	4.0	2008-04-04	95.0	95.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.397+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '5d02fb80-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]			False		NIWA Invertebrate Collection	Arango, Claudia	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5d02fb80-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:173197			NIWA	4081101022	5d02fb80-fa36-11e2-96b3-aa6f927c92a3			39913		NIWA Invertebrate Collection	TAN0803/48			100.0	31.0	Seamount	Subsample(s), DNA subsample = 1; Specimen(s), Ethanol - no formalin = 1	LINESTRING (161.9765 -51.0955, 161.9836667 -51.0951667)	Seamount 5 Eltanin, Macquarie Ridge. New Zealand EEZ	en	GPS																		
3466773050	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:22.659+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE			493.0	{}		2008.0	4.0	4.0	2008-04-04	95.0	95.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED', 'DEPTH_MIN_MAX_SWAPPED']	2024-06-23T06:51:22.659+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': '6c197be6-1746-4e89-8773-51643cb50f0a'}]	[]	[]	[]			False	ASAC_3010_0069		C. Arango	SE - Sled, epibenthic		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	NIWA.0069	SampleStation_ TAN0803/48	6c197be6-1746-4e89-8773-51643cb50f0a	urn:lsid:marinespecies.org:taxname:173197				3466773050	6c197be6-1746-4e89-8773-51643cb50f0a	173197		39913							31.0		ETOH - No Formalin	LINESTRING (161.9765 -51.0955, 161.9836667 -51.0951667)				MALE	ANTARCTICA	1.0	Individuals	4/4/2008	7000	{materialSampleID:PL2A11}	https://biodiversity.org.au/afd/taxa/253c63ba-b883-4e71-a32d-e9e30955b485	Species	Colossendeis media								
4399690682	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.101+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-54.8012805	159.1675764		{}	Pacific Ocean	1976.0	1.0	25.0	1976-01-25	25.0	25.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.101+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False		[{'identifier': '0def546b-a2a1-46c8-9079-80284bca626f'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False			Turpaeva, Elena	Galathea Trawl	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE		RV Dmitry Mendeleev_cruise 16_st.1292	0def546b-a2a1-46c8-9079-80284bca626f		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86		OBFc	4399690682	0def546b-a2a1-46c8-9079-80284bca626f			INV0000964		IORAS			fd699988-ab5d-4737-9443-9085cea191d2			RV Dmitry Mendeleev	EtOH 75%		South Pacific													1.0	1292	5400.0 m	IORAS	cruise 16			
4444205884	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.929+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-60.216518	-44.1665641		{}	Atlantic Ocean	1971.0	12.0	10.0	1971-12-10	344.0	344.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:58.929+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False		[{'identifier': '89f1393c-b218-4138-a767-32a88d1449a8'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False			Turpaeva, Elena	Sigsbee Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		RV Akademik Kurchatov_cruise 11_st.908	89f1393c-b218-4138-a767-32a88d1449a8		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86		OBFc	4444205884	89f1393c-b218-4138-a767-32a88d1449a8			INV0002980		IORAS			fd699988-ab5d-4737-9443-9085cea191d2			RV Akademik Kurchatov	EtOH 75%		Antarctica													1.0	908	5474.0 - 5465.0 m	IORAS	cruise 11			
1056002359	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:57.470+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1876 - 1905: page 49', 'http://purl.org/dc/terms/created': '1187776550000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/0798dda5-c276-4765-95c3-2d86ad988e23'}]}	PRESERVED_SPECIMEN	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-34.116667	-73.933333		{}								['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:57.470+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '1192137'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1876 - 1905: page 49', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/0798dda5-c276-4765-95c3-2d86ad988e23'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False					WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	EUROPE			1192137				ZOO	1056002359	9326c7e0-ef7d-4abb-ae88-e37ad592e971			1881.38		NHMUK																		"{""associatedMediaCount"": 1, ""barcode"": ""NHMUK014664281"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": ""Challenger Collection"", ""commodity"": null, ""created"": 1294336667000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Colossendeis media Hoek, 1881"", ""determinationTypes"": null, ""donorName"": ""Lords Commissioners of the Treasury"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056002359"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": ""Specimens"", ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""Spirit"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"				2.0	298				SYNTYPE	NHMUK:ecatalogue:1192137	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae
1055375358	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:54.881+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1876 - 1905: page 49', 'http://purl.org/dc/terms/created': '1187776550000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/0798dda5-c276-4765-95c3-2d86ad988e23'}]}	PRESERVED_SPECIMEN	PRESENT	4338379	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis brevipes Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	brevipes	SPECIES	SYNONYM	NE	-36.733333	-46.266667	4846.0	{}								['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:54.881+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False		[{'identifier': '1192141'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1876 - 1905: page 49', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/0798dda5-c276-4765-95c3-2d86ad988e23'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e		False					WGS84	Pycnogonida		[]	[]			EUROPE			1192141				ZOO	1055375358	b22d2e5f-95d2-4b3c-a538-f6525f21d751			1881.38		NHMUK																		"{""associatedMediaCount"": 1, ""barcode"": ""NHMUK014654221"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": ""Challenger Collection"", ""commodity"": null, ""created"": 1294336673000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Colossendeis brevipes Hoek, 1881"", ""determinationTypes"": null, ""donorName"": ""Lords Commissioners of the Treasury"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055375358"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": ""Specimens"", ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""Spirit"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"				2.0	325				SYNTYPE	NHMUK:ecatalogue:1192141	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae
318005551	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.592+00:00	124	{}	OCCURRENCE	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-60.05	-45.4166	5266.5	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.592+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23494'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE							SOMBASE Pycnogonids	318005551				23494		BAS					7.5																								
318005552	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.596+00:00	124	{}	OCCURRENCE	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-65.9333	-112.5	4792.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.596+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23495'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE							SOMBASE Pycnogonids	318005552				23495		BAS					3.0																								
318005553	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.604+00:00	124	{}	OCCURRENCE	PRESENT	2117592	1	54	354	9477065	2012	2117538	2117592	2117592	Colossendeis media Hoek, 1881	Colossendeis media Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis media	Colossendeis	media	SPECIES	ACCEPTED	NE	-41.25	-78.65	3639.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.604+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False		[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:23496'}]	[]	[]	[]			False					WGS84	Pycnogonida		[]	[]			EUROPE							SOMBASE Pycnogonids	318005553				23496		BAS					0.0																								
