key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	identifiedBy	preparations	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	gbifID	collectionCode	occurrenceID	higherClassification	sex	locality	decimalLatitude	decimalLongitude	depth	depthAccuracy	typeStatus	references	datasetID	geodeticDatum	scientificNameID	institutionCode	bibliographicCitation
2434399762	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:30.248+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118409	1	54	354	9477065	6313	2118396	2118409	2118409	Achelia watamu (Müller, 1990)	Achelia watamu (Müller, 1990)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia watamu	Achelia	watamu	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	15.0	1991-11-15	319.0	319.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:30.248+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3562@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3562@CRS	ZMA.PYC.3562	ICZN	Naturalis Biodiversity Center	15 nov 1991	2434399762	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3562	Animalia|Ammotheidae													
2434363450	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:33.135+00:00	393	{}	PRESERVED_SPECIMEN	7.0	PRESENT	2118409	1	54	354	9477065	6313	2118396	2118409	2118409	Achelia watamu (Müller, 1990)	Achelia watamu (Müller, 1990)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia watamu	Achelia	watamu	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	28.0	1991-11-28	332.0	332.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:33.135+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3564@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Moolenbeek R. et al.	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3564@CRS	ZMA.PYC.3564	ICZN	Naturalis Biodiversity Center	28 nov 1991	2434363450	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3564	Animalia|Ammotheidae													
2434400120	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:27.285+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1041/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1041_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1041/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118409	1	54	354	9477065	6313	2118396	2118409	2118409	Achelia watamu (Müller, 1990)	Achelia watamu (Müller, 1990)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia watamu	Achelia	watamu	SPECIES	ACCEPTED	NE	ASIA	{}	1991.0	11.0	28.0	1991-11-28	332.0	332.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:27.285+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1041@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1041_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1041/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False			WholeOrganism (microscopic slide)	Pycnogonida	OM	[]	[]	ASIA	Oman	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.P.1041@CRS	ZMA.PYC.P.1041	ICZN	Naturalis Biodiversity Center	28 nov. 1991	2434400120	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1041	Animalia	MALE	Masqat											
4055739927	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:20.738+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2118409	1	54	354	9477065	6313	2118396	2118409	2118409	Achelia watamu (Müller, 1990)	Achelia watamu (Müller, 1990)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia watamu	Achelia	watamu	SPECIES	ACCEPTED	NE	AFRICA	{'level0': {'gid': 'KEN', 'name': 'Kenya'}, 'level1': {'gid': 'KEN.14_1', 'name': 'Kilifi'}, 'level2': {'gid': 'KEN.14.5_1', 'name': 'Magarini'}, 'level3': {'gid': 'KEN.14.5.5_1', 'name': 'Marafa'}}	1989.0			1989-07-24/1989-08-07	205.0	219.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:07:20.738+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1489'}]	[]	[]	[]		False				Pycnogonida	KE	[]	[]	AFRICA	Kenya	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_1489	sm_id_1489				4055739927	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1489			Indian Ocean	-3.0	40.0	0.25	0.25	HOLOTYPE	http://www.marinespecies.org/aphia.php?p=specdetails&id=1489	https://marineinfo.org/id/dataset/5184	WGS84	urn:lsid:marinespecies.org:taxname:239542	WoRMS Editorial Board	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Achelia watamu</i> (Müller, 1990). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239542
1037979114	7d8ed137-1d30-42f1-8b78-12a4957e4690	021121c0-f040-11d8-b22f-b8a03c50a862		6047d0d6-f762-11e1-a439-00145eb45e9a	021121c0-f040-11d8-b22f-b8a03c50a862	DE	BIOCASE	2023-09-21T02:23:27.615+00:00	2024-01-25T09:13:03.885+00:00	213	{}	PRESERVED_SPECIMEN		PRESENT	2118409	1	54	354	9477065	6313	2118396	2118409	2118409	Achelia watamu (Müller, 1990)	Achelia watamu (Müller, 1990)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia watamu	Achelia	watamu	SPECIES	ACCEPTED	NE		{}							['INSTITUTION_MATCH_NONE']		2024-01-25T09:13:03.885+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ZMB/Pyc:Museum für Naturkunde, Berlin - Pycnogonida:275420'}]	[]	[]	[]		False	Bartolino			Pycnogonida	YE	[]	[]	ASIA	Yemen	EUROPE			275420				1037979114	Museum für Naturkunde, Berlin - Pycnogonida														ZMB/Pyc	
1037979074	7d8ed137-1d30-42f1-8b78-12a4957e4690	021121c0-f040-11d8-b22f-b8a03c50a862		6047d0d6-f762-11e1-a439-00145eb45e9a	021121c0-f040-11d8-b22f-b8a03c50a862	DE	BIOCASE	2023-09-21T02:23:27.615+00:00	2024-01-25T09:13:03.866+00:00	213	{}	PRESERVED_SPECIMEN		PRESENT	2118409	1	54	354	9477065	6313	2118396	2118409	2118409	Achelia watamu (Müller, 1990)	Achelia watamu (Müller, 1990)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia watamu	Achelia	watamu	SPECIES	ACCEPTED	NE		{}							['INSTITUTION_MATCH_NONE']		2024-01-25T09:13:03.866+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ZMB/Pyc:Museum für Naturkunde, Berlin - Pycnogonida:275421'}]	[]	[]	[]		False	Bartolino			Pycnogonida	YE	[]	[]	ASIA	Yemen	EUROPE			275421				1037979074	Museum für Naturkunde, Berlin - Pycnogonida														ZMB/Pyc	
