key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depth	depthAccuracy	higherGeography	modified	datasetName	countryCode	gbifRegion	country	locationID	verbatimCoordinateSystem	higherClassification	sex	rightsHolder	nomenclaturalCode	verbatimEventDate	typeStatus	otherCatalogNumbers	acceptedNameUsage	eventRemarks	occurrenceRemarks	coordinateUncertaintyInMeters	datasetID	fieldNotes
4399690459	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.759+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	41.6611564	-49.9908832	{}	Atlantic Ocean	2001	9	6	2001-09-06	249	249	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.759+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '6120c7b4-db41-4a09-b0b9-8561e7649c68'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 46_st.4254	6120c7b4-db41-4a09-b0b9-8561e7649c68	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	4254	OBFc	4399690459	6120c7b4-db41-4a09-b0b9-8561e7649c68	3796.0 - 3780.0 m	INV0001292	IORAS	IORAS	cruise 46	fd699988-ab5d-4737-9443-9085cea191d2																							
4399691304	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.943+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	41.6765457	-49.9601063	{}	Atlantic Ocean	1999	9	25	1999-09-25	268	268	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.943+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '5da1426e-32ea-49f1-a0bf-6d3dc5fa4705'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 42_st.3939	5da1426e-32ea-49f1-a0bf-6d3dc5fa4705	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	3939	OBFc	4399691304	5da1426e-32ea-49f1-a0bf-6d3dc5fa4705	3700.0 - 3800.0 m	INV0001296	IORAS	IORAS	cruise 42	fd699988-ab5d-4737-9443-9085cea191d2																							
201119539	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.609+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	-33.4083	2.5483	{}		1978	12	1	1978-12-01	335	335	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.609+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119539'}]	[]	[]	[]			False	SIBUET Myriam	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Ride Walvis		Biocean	201119539	201119539		17636	Ifremer				4585.0	0.0																					
201119542	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.613+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	-32.3033	13.265	{}		1978	12	1	1978-12-01	335	335	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.613+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201119542'}]	[]	[]	[]			False	SIBUET Myriam	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Ride Walvis		Biocean	201119542	201119542		17737	Ifremer				3550.0	0.0																					
811996116	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.379+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	-33.4083	2.5483	{}		1978	12	1	1978-12-01	335	335	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.379+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996116'}]	[]	[]	[]			False	SIBUET Myriam	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Ride Walvis		bio_dba	811996116	811996116		17636	Ifremer				4585.0	0.0																					
811996119	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:51.379+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	-32.3033	13.265	{}		1978	12	1	1978-12-01	335	335	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:51.379+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996119'}]	[]	[]	[]			False	SIBUET Myriam	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Ride Walvis		bio_dba	811996119	811996119		17737	Ifremer				3550.0	0.0																					
1317435729	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:06.282+00:00	395	{}	PRESERVED_SPECIMEN	9.0	PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	-52.3933	-37.6133	{}	South Atlantic Ocean	1971	3	14	1971-03-14	73	73	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'PRESUMED_SWAPPED_COORDINATE', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:06.282+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/30a5398fd-a063-43b4-9b2f-98f5e5202f30'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Woods Hole Oceanographic Institution	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)		WGS84	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/30a5398fd-a063-43b4-9b2f-98f5e5202f30	urn:lsid:biocol.org:col:34871	Argentine Basin		IZ	1317435729	http://n2t.net/ark:/65665/30a5398fd-a063-43b4-9b2f-98f5e5202f30		USNM 181086	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	3818.5	3.5	South Atlantic Ocean, Argentina	2017-10-11T14:28:00.000+00:00	NMNH Extant Biology	AR	LATIN_AMERICA	Argentina	243	Degrees Minutes Seconds	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae												
201120089	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.158+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	36.8083	-27.1	{}		1969	8	1	1969-08-01	213	213	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.158+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201120089'}]	[]	[]	[]			False	LE PICHON Xavier	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Atlantique nord		Biocean	201120089	201120089		34688	Ifremer				3663.0	0.0				PT	EUROPE	Portugal															
201120091	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:50.164+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	58.795	-52.9417	{}		1969	8	1	1969-08-01	213	213	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:50.164+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201120091'}]	[]	[]	[]			False	LE PICHON Xavier	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Atlantique nord		Biocean	201120091	201120091		34699	Ifremer				3610.0	0.0				GL	NORTH_AMERICA	Greenland															
811996653	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.942+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117755	1	54	354	9477065	2013	2117630	2117755	2117755	Nymphon inerme Fage, 1956	Nymphon inerme Fage, 1956	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon inerme	Nymphon	inerme	SPECIES	ACCEPTED	NE	36.8083	-27.1	{}		1969	8	1	1969-08-01	213	213	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-24T22:32:49.942+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811996653'}]	[]	[]	[]			False	LE PICHON Xavier	STOCK Jan			WGS84	Pycnogonida	[]	[]	EUROPE				Atlantique nord		bio_dba	811996653	811996653		34688	Ifremer				3663.0	0.0				PT	EUROPE	Portugal															
