key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	programmeAcronym	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	gadm	waterBody	year	eventDate	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	gbifID	language	occurrenceID	individualCount	month	day	startDayOfYear	endDayOfYear	modified	institutionKey	preparations	rightsHolder	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	collectionCode	higherClassification	collectionID	sex	lifeStage	depth	depthAccuracy	stateProvince	higherGeography	collectionKey	institutionCode	locality	fieldNumber	verbatimDepth	locationID	typeStatus	georeferenceProtocol	verbatimCoordinateSystem	references	datasetID	bibliographicCitation	dateIdentified	type	habitat	http://unknown.org/occurrenceDetails	elevation	elevationAccuracy
3886060190	b8a82fe0-9e10-4507-9201-b4bf12a64d59	1e9400fa-ce73-4737-9eaa-f25df148945c	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b68add0c-c5b6-451a-818c-203a0253bac9	1e9400fa-ce73-4737-9eaa-f25df148945c	VE	EML	2024-01-23T17:44:57.946+00:00	2024-01-26T12:45:59.104+00:00	15	BID-CA2020-025-NAC	BID	{}	HUMAN_OBSERVATION	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	10.979226	-64.165138	SOUTH_AMERICA	{'level0': {'gid': 'VEN', 'name': 'Venezuela'}, 'level1': {'gid': 'VEN.18_1', 'name': 'Nueva Esparta'}, 'level2': {'gid': 'VEN.18.10_1', 'name': 'Peninsula de Macanao'}}	Caribbean Sea	2012.0	2012	[]	2024-01-26T12:45:59.104+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'BMLR_VT_TGECAM_CM_E1_SP6'}]	[]	[]	[]	False	biodiversidad-larestinga	Claudina Mata	Claudina Mata	WGS84	Pycnogonida	VE	[]	[]	LATIN_AMERICA	Venezuela (Bolivarian Republic of)	LATIN_AMERICA	BMLR_VT_TGECAM_CM_E1	BMLR_VT_TGECAM_CM_E1_SP6	urn:lsid:marinespecies.org:taxname:239972	3886060190	en	BMLR_VT_TGECAM_CM_E1_SP6																																								
2434399959	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:20.053+00:00	393			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE				{}		1985.0	1985-07-21	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:20.053+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3360@CRS'}]	[]	[]	[]	False		Müller H.G.	Stock J.H.		Pycnogonida	CO	[]	[]	LATIN_AMERICA	Colombia	EUROPE		ZMA.PYC.3360@CRS		2434399959		https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3360	2.0	7.0	21.0	202.0	202.0	2019-03-08T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (wet specimen)	Naturalis Biodiversity Center	ZMA.PYC.3360	ICZN	Naturalis Biodiversity Center	21 jul 1985	Chelicerata and Myriapoda	Animalia|Phoxichilidiidae 																									
3743729333	a0a4d131-f53f-43b2-a1ba-254473b8a006	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T07:19:20.199+00:00	2024-01-25T11:57:35.203+00:00	150			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	24.6555	81.5086	ASIA	{'level0': {'gid': 'IND', 'name': 'India'}, 'level1': {'gid': 'IND.19_1', 'name': 'Madhya Pradesh'}, 'level2': {'gid': 'IND.19.36_1', 'name': 'Rewa'}, 'level3': {'gid': 'IND.19.36.3_1', 'name': 'Sirmaur'}}		1980.0	1980-06-18	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-01-25T11:57:35.203+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '0be61340-1973-47c5-b314-9db36c38bd23'}]	[]	[]	[]	False				WGS84	Pycnogonida	IN	[]	[]	ASIA	India	NORTH_AMERICA	36c59fa6-c0e5-4325-8714-10249d0890bb	0be61340-1973-47c5-b314-9db36c38bd23	urn:lsid:marinespecies.org:taxname:239972	3743729333		0be61340-1973-47c5-b314-9db36c38bd23		6.0	18.0	170.0	170.0					145281				FSBC I		56bf7b66-ed07-4b91-9f0d-1f00de11fab8																								
1321728374	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:08.982+00:00	395			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	9.55	-79.62	NORTH_AMERICA	{'level0': {'gid': 'PAN', 'name': 'Panama'}, 'level1': {'gid': 'PAN.4_1', 'name': 'Colón'}, 'level2': {'gid': 'PAN.4.5_1', 'name': 'Portobelo'}, 'level3': {'gid': 'PAN.4.5.5_1', 'name': 'Portobelo'}}	North Atlantic Ocean, Caribbean Sea	1973.0	1973-08-26	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:08.982+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c82b6a64-b0f7-4d49-ab0f-0d7bac540848'}]	[]	[]	[]	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA		http://n2t.net/ark:/65665/3c82b6a64-b0f7-4d49-ab0f-0d7bac540848		1321728374		http://n2t.net/ark:/65665/3c82b6a64-b0f7-4d49-ab0f-0d7bac540848	1.0	8.0	26.0	238.0	238.0	2016-12-21T15:04:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	Alcohol (Ethanol)		USNM 154439		urn:lsid:biocol.org:col:34871	26 AUG 1973	IZ	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	Juvenile	8.5	0.5	Canal Zone	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	0174f5b3-da29-4967-b8dc-ce75ed53e35d	USNM	Portobelo, Settling Plates															
1319059497	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:26.291+00:00	395			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	9.37	-79.95	NORTH_AMERICA	{}	North Atlantic Ocean, Caribbean Sea	1972.0	1972-03-20	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:26.291+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35221a823-7849-4dc1-a06c-020e3e395e08'}]	[]	[]	[]	False	NMNH Extant Biology	Smithsonian Tropical Research Institute	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA		http://n2t.net/ark:/65665/35221a823-7849-4dc1-a06c-020e3e395e08		1319059497		http://n2t.net/ark:/65665/35221a823-7849-4dc1-a06c-020e3e395e08	1.0	3.0	20.0	80.0	80.0	2017-11-21T16:46:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	Alcohol (Ethanol)		USNM 154440		urn:lsid:biocol.org:col:34871	20 MAR 1972	IZ	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE				Canal Zone	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	0174f5b3-da29-4967-b8dc-ce75ed53e35d	USNM	Limon Bay, Gatun Locks, Outer Platform West Chamber	1-9	Intertidal	81- 1-9												
1319315925	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:09.074+00:00	395			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	9.3533	-79.9133	NORTH_AMERICA	{'level0': {'gid': 'PAN', 'name': 'Panama'}, 'level1': {'gid': 'PAN.4_1', 'name': 'Colón'}, 'level2': {'gid': 'PAN.4.2_1', 'name': 'Colón'}, 'level3': {'gid': 'PAN.4.2.2_1', 'name': 'Barrio Sur'}}	North Atlantic Ocean, Caribbean Sea	1966.0	1966-07-05	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:09.074+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/35d81210a-b9d1-46cb-8ea1-693b4dd0ac62'}]	[]	[]	[]	True	NMNH Extant Biology		Stock, Jan H., Zoological Museum Amsterdam	WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA		http://n2t.net/ark:/65665/35d81210a-b9d1-46cb-8ea1-693b4dd0ac62		1319315925		http://n2t.net/ark:/65665/35d81210a-b9d1-46cb-8ea1-693b4dd0ac62	22.0	7.0	5.0	186.0	186.0	2017-11-21T16:51:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	Alcohol (Ethanol)		USNM 149227		urn:lsid:biocol.org:col:34871		IZ	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6					Canal Zone	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	0174f5b3-da29-4967-b8dc-ce75ed53e35d	USNM	Limon Bay, Cristobal Harbor, Pilings of Pier 10	P323	surface	323	PARATYPE	unknown, from legacy	Degrees Minutes Seconds									
1322167983	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:27.389+00:00	395			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	9.3533	-79.9133	NORTH_AMERICA	{'level0': {'gid': 'PAN', 'name': 'Panama'}, 'level1': {'gid': 'PAN.4_1', 'name': 'Colón'}, 'level2': {'gid': 'PAN.4.2_1', 'name': 'Colón'}, 'level3': {'gid': 'PAN.4.2.2_1', 'name': 'Barrio Sur'}}	North Atlantic Ocean, Caribbean Sea	1966.0	1966-07-05	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:27.389+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3dbabed84-3a59-4db0-9367-55eec2d8ebcc'}]	[]	[]	[]	True	NMNH Extant Biology		Stock, Jan H., Zoological Museum Amsterdam	WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	NORTH_AMERICA		http://n2t.net/ark:/65665/3dbabed84-3a59-4db0-9367-55eec2d8ebcc		1322167983		http://n2t.net/ark:/65665/3dbabed84-3a59-4db0-9367-55eec2d8ebcc	1.0	7.0	5.0	186.0	186.0	2017-11-21T16:51:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	Alcohol (Ethanol)		USNM 149226		urn:lsid:biocol.org:col:34871		IZ	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE				Canal Zone	North Atlantic Ocean, Caribbean Sea, Panama, Canal Zone	0174f5b3-da29-4967-b8dc-ce75ed53e35d	USNM	Limon Bay, Cristobal Harbor, Pilings of Pier 10	P323	surface	323	HOLOTYPE	unknown, from legacy	Degrees Minutes Seconds									
4055768437	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:03.301+00:00	81			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	9.17	-79.85	NORTH_AMERICA	{'level0': {'gid': 'PAN', 'name': 'Panama'}, 'level1': {'gid': 'PAN.11_1', 'name': 'Panamá Oeste'}, 'level2': {'gid': 'PAN.11.4_1', 'name': 'La Chorrera'}, 'level3': {'gid': 'PAN.11.4.1_1', 'name': 'Amador'}}		1966.0	1966-07-06	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:12:03.301+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_726'}]	[]	[]	[]	True				WGS84	Pycnogonida	PA	[]	[]	LATIN_AMERICA	Panama	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_726	urn:lsid:marinespecies.org:taxname:239972	4055768437		WoRMS Editorial Board:WoRMS type localities:sm_id_726		7.0	6.0	187.0	187.0	2007-06-20T15:52:33.000+00:00				sm_id_726				WoRMS type localities										WoRMS Editorial Board	Caribbean Sea				HOLOTYPE			http://www.marinespecies.org/aphia.php?p=specdetails&id=726	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus insigniformis</i> Stock, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239972						
2434400558	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:33.635+00:00	393			{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1088/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1088_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1088/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE				{}		1966.0	1966-07-06	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:33.635+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1088@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1088_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1088/format/large'}]	[]	[]	True					Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1088@CRS		2434400558		https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1088		7.0	6.0	187.0	187.0	2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92	WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	ZMA.PYC.P.1088	ICZN	Naturalis Biodiversity Center	6.VII.1966	Chelicerata and Myriapoda	Animalia		MALE								Cristobal				PARATYPE											
1804338921	87f42a91-8dfd-44f1-aabb-8b6ef14aba82	a41250f0-7c3e-11d8-a19c-b8a03c50a862		1bd85d67-1c87-4591-988a-44ff22008d3e	a41250f0-7c3e-11d8-a19c-b8a03c50a862	CA	EML	2024-07-04T18:49:39.484+00:00	2024-07-04T18:50:16.492+00:00	337			{}	PRESERVED_SPECIMEN	PRESENT	2117377	1	54	354	9477065	6316	2117290	2117377	2117377	Anoplodactylus insigniformis Stock, 1974	Anoplodactylus insigniformis Stock, 1974	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus insigniformis	Anoplodactylus	insigniformis	SPECIES	ACCEPTED	NE	13.2667	-59.6333	NORTH_AMERICA	{'level0': {'gid': 'BRB', 'name': 'Barbados'}, 'level1': {'gid': 'BRB.9_1', 'name': 'Saint Peter'}}		1965.0	1965	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-04T18:50:16.492+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ad26c12a-a885-8854-babe-9b1df57c2cc9'}]	[]	[]	[]	False	Crustacea	Pocock, Dorothy	Bamber, Roger N.	WGS84	Pycnogonida	BB	[]	[]	LATIN_AMERICA	Barbados	NORTH_AMERICA		ad26c12a-a885-8854-babe-9b1df57c2cc9		1804338921	en	ad26c12a-a885-8854-babe-9b1df57c2cc9	1.0					2021-05-28T20:25:00.000+00:00	c146edb6-3a82-473c-b337-4acaa92f9513	fluid	Canadian Museum of Nature	CMNC 1994-0154		http://biocol.org/urn:lsid:biocol.org:col:34935	1965-05	CMNC	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Phoxichilidiidae; Anoplodactylus;	http://grbio.org/cool/sjd8-70zp	FEMALE				St. Peter (Parish) (BB)		0a009cbb-94c4-4bc5-9da4-cd6ad5a0e830	CMN	W coast just N of Six Men\'s Bay			CMNC 1994-0154						(CMNC 1994-0154)	1993-09-14T00:00:00	PhysicalObject				
