key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	depth	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	recordNumber	identifier	scientificNameID	verbatimEventDate	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	gbifID	occurrenceID	taxonID	networkKeys	decimalLatitude	decimalLongitude	modified	recordedBy	identifiedBy	geodeticDatum	catalogNumber	institutionCode	locality	collectionCode	bibliographicCitation	individualCount	sex	depthAccuracy	waterBody	higherGeography	institutionKey	collectionKey	datasetName	preparations	institutionID	georeferenceProtocol	verbatimCoordinateSystem	fieldNumber	locationID	higherClassification	collectionID	lifeStage	coordinateUncertaintyInMeters	samplingProtocol	footprintWKT	language	georeferenceSources	otherCatalogNumbers	dynamicProperties	occurrenceRemarks	typeStatus	coordinatePrecision	acceptedNameUsage	verbatimLocality	locationRemarks	nameAccordingTo	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders
3466772365	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:14.227+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	826.4	ANTARCTICA	{}	2007.0	12.0	27.0	2007-12-27	361.0	361.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:14.227+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'c74b3c72-6a97-4903-ab1a-e4ac890e9965'}]	[]	[]	[]	False	ASAC_3010_0274	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 37	IU-2007-100ag	c74b3c72-6a97-4903-ab1a-e4ac890e9965	urn:lsid:marinespecies.org:taxname:173048	12/27/2007	7000	https://biodiversity.org.au/afd/taxa/2f463fbd-27d9-4d40-9394-e2146b3fc953	Species	Austropallene tibicina	3466772365	c74b3c72-6a97-4903-ab1a-e4ac890e9965	173048																																																	
1914305139	7b45011a-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:57.305+00:00	2024-01-24T20:20:34.320+00:00	240	{}	HUMAN_OBSERVATION	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	290.0	ANTARCTICA	{}	1985.0	1.0	30.0	1985-01-30	30.0	30.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:34.320+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:University of Lodz:OC - Pycnogonida:422_0063'}]	[]	[]	[]	False	IMIS:dasid:1649	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE			urn:catalog:University of Lodz:OC - Pycnogonida:422_0063	urn:lsid:marinespecies.org:taxname:173048						1914305139	urn:catalog:University of Lodz:OC - Pycnogonida:422_0063		['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-62.1528	-58.4455	2008-05-05T00:00:00.000+00:00	Sicinski Jacek	Bamber Roger	WGS84	422	University of Lodz	Admiralty Bay	OC - Pycnogonida	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)																																					
1914305113	7b45011a-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:57.305+00:00	2024-01-24T20:20:34.922+00:00	240	{}	HUMAN_OBSERVATION	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	205.0	ANTARCTICA	{}	1985.0	7.0	23.0	1985-07-23	204.0	204.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:34.922+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:University of Lodz:OC - Pycnogonida:481_0032'}]	[]	[]	[]	False	IMIS:dasid:1649	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE			urn:catalog:University of Lodz:OC - Pycnogonida:481_0032	urn:lsid:marinespecies.org:taxname:173048						1914305113	urn:catalog:University of Lodz:OC - Pycnogonida:481_0032		['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	-62.15259	-58.44884	2008-05-05T00:00:00.000+00:00	Sicinski Jacek	Bamber Roger	WGS84	481	University of Lodz	Admiralty Bay	OC - Pycnogonida	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)																																					
1318870735	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:28.177+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	107.5	ANTARCTICA	{}	1982.0	3.0	22.0	1982-03-22	81.0	81.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:28.177+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/349c9a07e-37b2-484c-bebd-9a22547a44b9'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/349c9a07e-37b2-484c-bebd-9a22547a44b9		22 MAR 1982					1318870735	http://n2t.net/ark:/65665/349c9a07e-37b2-484c-bebd-9a22547a44b9		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-64.3129	-62.9722	2013-09-20T13:24:00.000+00:00	G. Hendler & Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	USNM 233994	USNM	Antarctic Peninsula, Palmer Archipelago, Melchior Island	IZ		1.0	FEMALE	22.5	Antarctic Ocean	Antarctic Ocean, Antarctica	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/HE/824/18-1/SOSC-H	18-1	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																					
1319719157	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:58.952+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	350.0		{}	1968.0	1.0	10.0	1968-01-10	10.0	10.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:58.952+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/36f517f8d-691f-4d0f-af23-c1924eb6b8d4'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/36f517f8d-691f-4d0f-af23-c1924eb6b8d4		10 JAN 1968					1319719157	http://n2t.net/ark:/65665/36f517f8d-691f-4d0f-af23-c1924eb6b8d4		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-72.083	172.142	2013-01-11T15:46:00.000+00:00	University of Southern California	Hedgpeth, J. W.	WGS84	USNM 233993	USNM	Victoria Land	IZ		5.0		2.0	Antarctic Ocean, Ross Sea	Antarctic Ocean, Ross Sea, Antarctica	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/EL/32/1996/USC	1996	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Juvenile																				
1318988402	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:20.695+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	1619.5		{}	1967.0	1.0	13.0	1967-01-13	13.0	13.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:20.695+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/34efce80e-e1e5-4b96-b56e-afa09830318b'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/34efce80e-e1e5-4b96-b56e-afa09830318b		13 JAN 1967					1318988402	http://n2t.net/ark:/65665/34efce80e-e1e5-4b96-b56e-afa09830318b		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-71.267	171.667	2013-03-08T15:09:00.000+00:00	University of Southern California	Hedgpeth, J. W.	WGS84	USNM 233992	USNM	Victoria Land, Cape Adare, south of cape	IZ		5.0		54.5	Antarctic Ocean, Ross Sea	Antarctic Ocean, Ross Sea, Antarctica	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/EL/27/1869/USC	1869	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																					
1320356179	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:55.640+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	174.5		{}	1966.0	3.0	6.0	1966-03-06	65.0	65.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:55.640+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/38b85d31c-8e13-40bd-9501-ddd4d39c1a47'}]	[]	[]	[]	False		Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	NORTH_AMERICA			http://n2t.net/ark:/65665/38b85d31c-8e13-40bd-9501-ddd4d39c1a47		06 MAR 1966					1320356179	http://n2t.net/ark:/65665/38b85d31c-8e13-40bd-9501-ddd4d39c1a47		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-56.325	-27.475	2014-10-21T10:17:00.000+00:00	University of Southern California	Hedgpeth, J. W.	WGS84	USNM 233991	USNM	Visokoi Island, east of islands	IZ		1.0	MALE	26.5	South Atlantic Ocean, Scotia Sea	South Atlantic Ocean, Scotia Sea, South Sandwich Islands	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/EL/22/1581/USC	1581	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																					
1322241422	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:44.327+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	352.0		{}	1965.0	2.0	8.0	1965-02-08	39.0	39.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:44.327+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3dee7c3ef-3a53-49ae-9191-5e3c125632c1'}]	[]	[]	[]	False		Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	NORTH_AMERICA			http://n2t.net/ark:/65665/3dee7c3ef-3a53-49ae-9191-5e3c125632c1		08 FEB 1965					1322241422	http://n2t.net/ark:/65665/3dee7c3ef-3a53-49ae-9191-5e3c125632c1		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-51.008	162.017	2014-10-21T10:17:00.000+00:00	University of Southern California	Hedgpeth, J. W.	WGS84	USNM 233990	USNM	Macquarie Ridge	IZ		1.0		19.0	South Pacific Ocean	South Pacific Ocean, New Zealand	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/EL/16/1411/USC	1411	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																					
1318429476	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:56.567+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	215.0		{}	1964.0	3.0	15.0	1964-03-15	75.0	75.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:56.567+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/336464ace-60c8-4b1f-a001-87367119bc17'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/336464ace-60c8-4b1f-a001-87367119bc17		15 MAR 1964					1318429476	http://n2t.net/ark:/65665/336464ace-60c8-4b1f-a001-87367119bc17		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-62.683	-54.717	2013-01-11T15:44:00.000+00:00	University of Southern California	Hedgpeth, J. W.	WGS84	USNM 233989	USNM	Antarctic Peninsula	IZ		2.0		5.0	Antarctic Ocean	Antarctic Ocean, Antarctica	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/EL/12/1003/USC	1003	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																					
1322307330	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:52.315+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118071	1	54	354	9477065	2011	2118069	2118071	2118071	Austropallene tibicina Calman, 1915	Austropallene tibicina Calman, 1915	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene tibicina	Austropallene	tibicina	SPECIES	ACCEPTED	NE	3733.5		{}	1962.0	8.0	6.0	1962-08-06	218.0	218.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:52.315+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3e1d62c7e-7598-46b3-b8a9-0f70a35b673a'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA			http://n2t.net/ark:/65665/3e1d62c7e-7598-46b3-b8a9-0f70a35b673a		06 AUG 1962					1322307330	http://n2t.net/ark:/65665/3e1d62c7e-7598-46b3-b8a9-0f70a35b673a		['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	-62.642	-64.025	2013-01-11T15:43:00.000+00:00	University of Southern California	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	USNM 233988	USNM	South Shetland Islands	IZ		1.0	FEMALE	18.5	Antarctic Ocean	Antarctic Ocean, Antarctica	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	USARP/EL/4/135/USC	135	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Juvenile																				
